symbol,timeframe,timestamp,close,trend,ma7,ma25,ma99,rsi14,volume_zscore,close_zscore20,long_predictive_tag,short_predictive_tag
SANDUSDT,4h,2026-06-30T20:00:00+00:00,0.04653,neutral,0.04695428571428572,0.047103599999999995,0.0513879797979798,40.93592285311744,-1.2711508492695325,-1.5890913418381014,predictive_bollinger_reclaim,neutral
SKLUSDT,4h,2026-06-30T20:00:00+00:00,0.00346,bearish,0.0035014285714285716,0.0035219999999999995,0.0039026262626262625,43.15348539758025,-0.6063486385045562,-1.0013908836350771,neutral,neutral
SNXUSDT,4h,2026-06-30T20:00:00+00:00,0.212,neutral,0.21,0.21764,0.23240404040404042,45.74121782286468,-0.10440811345751473,-0.7869387894743424,neutral,neutral
SPELLUSDT,4h,2026-06-30T20:00:00+00:00,8.89e-05,bearish,9.101428571428572e-05,9.569599999999999e-05,0.00011407171717171718,20.66217873962688,-1.0324870246883053,-1.8821880974571321,predictive_bollinger_reclaim,neutral
SSVUSDT,4h,2026-06-30T20:00:00+00:00,1.976,bearish,1.993142857142857,2.00616,2.2077171717171717,39.88628834114528,-0.9570271751404935,-1.5301686156546845,predictive_bollinger_reclaim,neutral
STORJUSDT,4h,2026-06-30T20:00:00+00:00,0.0711,bearish,0.07142857142857142,0.07344,0.07546464646464646,40.906314679695384,-0.6690819431584069,-1.4036926339013298,neutral,neutral
SUNUSDT,4h,2026-06-30T20:00:00+00:00,0.01621,bearish,0.016502857142857146,0.0166844,0.01700858585858586,24.26016466339854,0.4284970906165915,-2.5346757967805917,neutral,neutral
SUSHIUSDT,4h,2026-06-30T20:00:00+00:00,0.149,neutral,0.14932857142857145,0.150584,0.16715757575757575,44.665398151966436,-0.47316399992587294,-0.9479778645743301,neutral,neutral
THETAUSDT,4h,2026-06-30T20:00:00+00:00,0.1273,bearish,0.1291142857142857,0.131544,0.14712525252525252,34.413093922091505,-0.7459385808932281,-1.7932573114562116,neutral,neutral
TLMUSDT,4h,2026-06-30T20:00:00+00:00,0.000841,bearish,0.0008599999999999999,0.0008793200000000001,0.0009645757575757575,34.65629870680628,-0.3442960198829564,-1.934812877633473,predictive_bollinger_reclaim,neutral
TRBUSDT,4h,2026-06-30T20:00:00+00:00,13.37,neutral,13.46142857142857,13.5272,13.678989898989899,45.81211823048436,-1.0063876374430079,-1.1048512905617498,neutral,neutral
UMAUSDT,4h,2026-06-30T20:00:00+00:00,0.376,bearish,0.38014285714285717,0.38392,0.4034141414141414,35.897710641507246,-0.672615819021891,-2.0814126176333114,neutral,neutral
VTHOUSDT,4h,2026-06-30T20:00:00+00:00,0.000351,bearish,0.00035557142857142856,0.00036159999999999995,0.0003818787878787879,36.41989263177601,-1.0990752352392918,-2.1094470969440935,neutral,neutral
WOOUSDT,4h,2026-06-30T20:00:00+00:00,0.01064,bearish,0.010767142857142859,0.0109712,0.012286565656565655,36.0769668215393,-0.6206337026399643,-1.8841644873397085,predictive_bollinger_reclaim,neutral
XTZUSDT,4h,2026-06-30T20:00:00+00:00,0.2026,bearish,0.20645714285714287,0.212128,0.22625151515151518,33.82160984750159,-0.16165836357562935,-2.261615643140272,neutral,neutral
YFIUSDT,4h,2026-06-30T20:00:00+00:00,1622.0,bearish,1627.7142857142858,1647.16,1789.2828282828282,41.312139103909956,-0.8474387676051763,-1.4107338055874863,neutral,neutral
YGGUSDT,4h,2026-06-30T20:00:00+00:00,0.02169,bearish,0.02200142857142857,0.0225204,0.024575353535353537,36.95043935846967,-1.105933681303162,-1.8284715607782527,predictive_bollinger_reclaim,neutral
ZECUSDT,4h,2026-06-30T20:00:00+00:00,399.5,neutral,399.81714285714287,396.94120000000004,440.72494949494944,49.69759307183492,-1.0931928774014028,0.7232582122127027,neutral,neutral
ZENUSDT,4h,2026-06-30T20:00:00+00:00,4.018,bearish,4.046,4.0846,4.366818181818181,42.1853965133333,-1.2476196298903672,-1.2035893744784874,neutral,neutral
ZILUSDT,4h,2026-06-30T20:00:00+00:00,0.00286,bearish,0.0028757142857142857,0.0029308,0.003072222222222222,38.39921938169642,-0.4689047683790959,-1.4005816778736273,predictive_bollinger_reclaim,neutral
ZRXUSDT,4h,2026-06-30T20:00:00+00:00,0.0777,neutral,0.07847142857142857,0.080304,0.08329898989898989,40.00939340661181,-0.9932527794355331,-1.6511371353223463,predictive_bollinger_reclaim,neutral
